ID,Fuel_Type_Code,Station_Name,Street_Address,City,State,ZIP,Status_Code,Groups_With_Access_Code,Geocode_Status,Latitude,Longitude,Country,Groups_With_Access_Code_French,Access_Code
123119,ELEC,Pawling - Chamber of Commerce,55 Charles Colman Blvd,Pawling,NY,12564,E,Public,GPS,41.5635129,-73.6010151,US,Public,public
123120,ELEC,Quad Graphics,56 Duplainville Rd,Saratoga Springs,NY,12866,E,Public,GPS,43.061533,-73.8296968,US,Public,public
123122,ELEC,Hopson Cottage - Brad College Admissions,60 W Ravine Rd,Annandale-on-Hudson,NY,12504,E,Public,GPS,42.0220708,-73.9109959,US,Public,public
123123,ELEC,Robert Moses Park Office,600 Robert Moses State Pkwy,Babylon,NY,11702,E,Public,GPS,40.6233397722037,-73.2776290932067,US,Public,public
123124,ELEC,Belmont Lake State Park,625 Belmont Ave,West Babylon,NY,11704,E,Public,GPS,40.7341334,-73.3445486,US,Public,public
123125,ELEC,Bartell Machinery Systems LLC,6321 Elmer Hill Rd,Rome,NY,13440,E,Private,GPS,43.285305,-75.4688824,US,Privé,private
123126,ELEC,Heritage Park - Heritage Trust,633 Mount Sinai-Coram Rd,Mt. Sinai,NY,11766,E,Public,GPS,40.935053,-73.011471,US,Public,public
123127,ELEC,Queens College - Kiely Hall,65-30 Kissena Blvd,Queens,NY,11367,E,Public,GPS,40.7358738,-73.8158194,US,Public,public
123128,ELEC,New York and Atlantic Railway Fresh Pond Yard,68-01 Otto Rd,Glendale,NY,11385,E,Public,GPS,40.7062312,-73.8864871,US,Public,public
123129,ELEC,Jordan Village Clerk,7 Mechanic St,Jordan,NY,13080,E,Public,GPS,43.0656545,-76.4722594999999,US,Public,public
123130,ELEC,Lima - Town Court,7329 E Main St,Lima,NY,14485,E,Public,GPS,42.9055199,-77.6106064,US,Public,public
123132,ELEC,Avon Village Office,102 Genesee St,Avon,NY,14414,E,Public,GPS,42.91058,-77.746443,US,Public,public
123133,ELEC,Green Lakes State Park,7900 Green Lakes Rd,Fayetteville,NY,13066,E,Public,GPS,43.0582439,-75.9714286999999,US,Public,public
123134,ELEC,Queens Borough Hall - Municipal Parking Lot,80-25 126th St,Queens,NY,11415,E,Public,GPS,40.714376,-73.826095,US,Public,public
123135,ELEC,Allan H. Treman State Marine Park,805 Taughannock Blvd,Ithaca,NY,14850,E,Public,GPS,42.4582615,-76.5200919,US,Public,public
123136,ELEC,John Boyd Thacher State Park,830 Thacher Park Rd,Voorheesville,NY,12186,E,Public,GPS,42.6541947,-74.0178139,US,Public,public
123137,ELEC,Cayuga Heights Village Court,836 Hanshaw Rd,Ithaca,NY,14850,E,Public,GPS,42.4694719592833,-76.4788705030411,US,Public,public
123138,ELEC,Tivoli Village Office,86 Broadway,Tivoli,NY,12583,E,Public,GPS,42.0589216,-73.9114922999999,US,Public,public
123139,ELEC,Emerson Street - Parking Lot,880 Emerson St,Rochester,NY,14613,E,Public,GPS,43.1744149,-77.6538094,US,Public,public
123140,ELEC,Mills Norrie State Park,9 Old Post Rd,Staatsburg,NY,12580,E,Public,GPS,41.8426034,-73.9309541,US,Public,public
123141,ELEC,New York State Parks - Saratoga Region,99 E West Rd,Saratoga Springs,NY,12866,E,Public,GPS,43.046328,-73.806865,US,Public,public
123142,ELEC,Bethpage Associates,99 Quaker Meeting House Rd,Farmingdale,NY,11735,E,Public,GPS,40.7413551371829,-73.4559301530258,US,Public,public
123143,ELEC,Chappaqua Train Station,Allan Pl,Chappaqua,NY,10514,E,Public,GPS,41.159024,-73.773454,US,Public,public
123144,ELEC,Tupper Lake Playground,Martin St,Tupper Lake,NY,12986,E,Public,GPS,44.224994,-74.465687,US,Public,public
123145,ELEC,Nassau Community College,1 Education Dr,Garden City,NY,11530,E,Public,GPS,40.7307936,-73.5912867,US,Public,public
