ID,Fuel Type Code,Station Name,City,State,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,Geocode Status,Latitude,Longitude,NG Vehicle Class,EV Connector Types,Groups With Access Code (French),Access Detail Code,CNG Dispenser Num,CNG Vehicle Class,LNG Vehicle Class
150725,ELEC,Lake Pleasant Lodge - Tesla Destination,Speculator,NY,,2.0,,Tesla Destination,200-8,43.495979,-74.360195,,TESLA,Public,,,,
150742,ELEC,Crowne Plaza Lake Placid - Tesla Destination,Lake Placid,NY,,2.0,,Tesla Destination,200-8,44.285832,-73.986802,,TESLA,Public,,,,
150746,ELEC,Dartmouth House - Tesla Destination,Rochester,NY,,1.0,,Tesla Destination,200-9,43.145078,-77.586462,,TESLA,Public - Appeler à l'avance,CALL,,,
150803,ELEC,REIKART HOUSE JAZZBOLINE 2,Amherst,NY,,2.0,,ChargePoint Network,GPS,42.960133,-78.76967,,J1772,Public,,,,
150805,ELEC,HYATT PLACE HOTEL AMHERST 1,Amherst,NY,,2.0,,ChargePoint Network,GPS,42.960632,-78.76919,,J1772,Public,,,,
150809,ELEC,SPOTCOWORK HENRIETTA,Rochester,NY,,2.0,,ChargePoint Network,GPS,43.091965,-77.580734,,J1772,Public,,,,
150825,ELEC,REIKART HOUSE JAZZBOLINE 1,Buffalo,NY,,2.0,,ChargePoint Network,GPS,42.96014,-78.76977,,J1772,Public,,,,
151794,ELEC,Broadway Commons,Hicksville,NY,,2.0,,Volta,GPS,40.773414,-73.533184,,J1772,Public,,,,
152158,ELEC,Outerbridge Commons - Tesla Supercharger,New York City,NY,,,12.0,Tesla,GPS,40.527543,-74.23131,,TESLA,Public,,,,
152207,ELEC,Broadway Commons,Hicksville,NY,,2.0,,Volta,GPS,40.77178,-73.532246,,J1772,Public,,,,
152208,ELEC,Broadway Commons,Hicksville,NY,,2.0,,Volta,GPS,40.771828,-73.531142,,J1772,Public,,,,
152213,ELEC,Packetts Landing,Fairport,NY,,6.0,,EV Connect,GPS,43.100475,-77.439834,,J1772,Public,,,,
152214,ELEC,Village Hall Police Station,Fairport,NY,,2.0,,EV Connect,GPS,43.1006,-77.4423,,J1772,Privé,,,,
152215,ELEC,Fairport Junction,Fairport,NY,,6.0,,EV Connect,GPS,43.102618,-77.441143,,J1772,Public,,,,
152216,ELEC,Potter Park,Fairport,NY,,2.0,,EV Connect,GPS,43.098077,-77.446529,,J1772,Public,,,,
152232,ELEC,ATRIUM EVCHARGE PRC-EV3,Clifton Park,NY,,2.0,,ChargePoint Network,GPS,42.866646,-73.777957,,J1772,Public,,,,
152233,ELEC,600 RIVER ROAD 600 RIVER,North Tonawanda,NY,,2.0,,ChargePoint Network,GPS,43.035576,-78.887184,,J1772,Public,,,,
152239,ELEC,PATCHVILLAGE PATCHOGUE,Patchogue,NY,,2.0,,ChargePoint Network,GPS,40.761692,-73.01223,,J1772,Public,,,,
152272,ELEC,MARKET 32 EV TROY VAN EV,Troy,NY,,2.0,,ChargePoint Network,GPS,42.69757,-73.69042,,J1772,Public,,,,
152276,ELEC,MARKET 32 EV MARKET GLENMONT,Glenmont,NY,,2.0,,ChargePoint Network,GPS,42.602394,-73.79083,,J1772,Public,,,,
152281,ELEC,MARKET 32 EV MALTA EV CHARGE,Malta,NY,,2.0,,ChargePoint Network,GPS,42.97366,-73.79479,,J1772,Public,,,,
152282,ELEC,MARKET 32 EV 290 SARATOGA RD,Schenectady,NY,,2.0,,ChargePoint Network,GPS,42.87302,-73.929504,,J1772,Public,,,,
152283,ELEC,MARKET 32 EV MARKET32 EV CP,Clifton Park,NY,,2.0,,ChargePoint Network,GPS,42.865038,-73.78225,,J1772,Public,,,,
152319,ELEC,MARKET 32 EV MARKET 32 EG CH,Rensselaer,NY,,2.0,,ChargePoint Network,GPS,42.607573,-73.719919,,J1772,Public,,,,
152320,ELEC,MARKET 32 EV MARKET32 EV EG2,Rensselaer,NY,,2.0,,ChargePoint Network,GPS,42.607567,-73.72001,,J1772,Public,,,,
152393,ELEC,NYE VW GROUP VW_408107_A,Rome,NY,,2.0,,ChargePoint Network,GPS,43.233239,-75.497597,,J1772,Public,,,,
152437,ELEC,TANNERSVILLE TOWN HALL,Tannersville,NY,,2.0,,ChargePoint Network,GPS,42.19611,-74.13166,,J1772,Public,,,,
152438,ELEC,TANNERSVILLE MUNICIPAL LOT,Tannersville,NY,,2.0,,ChargePoint Network,GPS,42.195133,-74.13242,,J1772,Public,,,,
152440,ELEC,PEPSICO INC STATION 1,Valhalla,NY,,2.0,,ChargePoint Network,GPS,41.096363,-73.77538,,J1772,Public,,,,
152450,ELEC,GREEN ACRES MALL,Valley Stream,NY,,1.0,4.0,Electrify America,GPS,40.662119,-73.723241,,CHADEMO J1772 J1772COMBO,Public,,,,
152461,ELEC,286WAE 286 WAS AVE EXT,Albany,NY,,2.0,,ChargePoint Network,GPS,42.70535,-73.86069,,J1772,Public,,,,
152628,ELEC,Custer Observatory - Tesla Destination,Southold,NY,,2.0,,Tesla Destination,GPS,41.052046,-72.43468,,TESLA,Public,,,,
